COG1943	K07491
COG1670	K03790
COG0520	K11717
COG2461	K09155
COG1959	K13643
COG1520	K17713
COG2067	K06076
COG0194	K00942
COG0452	K13038
COG1573	K21929
COG0305	K02314
COG0317	K01139
COG0816	K07447
COG0673	K00010
COG0815	K03820
COG4105	K05807
COG1057	K00969
COG1333	K07399
COG4799	K01966
COG3119	K01138
COG1115	K03310
COG1301	K03309
COG0325	K06997
COG0762	K02221
COG3599	K04074
COG0005	K00772
COG0060	K01870
COG1734	K06204
COG0597	K03101
COG1238	K03975
COG1502	K06131
COG0156	K00639
COG1136	K05685
COG4591	K09808
COG1180	K04069
COG0698	K01808
COG0628	K03548
COG0112	K00600
COG2818	K01246
COG0382	K03179
COG0424	K06287
COG1426	K15539
COG0821	K03526
COG1661	K06934
COG1428	K15518
COG0399	K13010
COG1898	K01790
COG1003	K00283
COG1199	K03722
COG2176	K03763
COG0346	K08234
COG0621	K06168
COG2956	K19804
COG0530	K07301
COG3147	K03749
COG1729	K05807
COG1555	K02237
COG0731	K04069
COG2008	K01620
COG2890	K02493
COG3481	K03698
COG1363	K20608
COG3631	K06893
COG2304	K07114
COG2843	K07282
COG0358	K02316
COG0582	K14059
COG0104	K01939
COG0341	K03074
COG0342	K12257
COG1344	K02406
COG0789	K22491
COG2870	K03272
COG0615	K03272
COG0541	K03106
COG0228	K02959
COG1837	K06960
COG0806	K02860
COG0336	K00554
COG0335	K02884
COG4206	K16092
COG4191	K02482
COG2984	K01989
COG2951	K08305
COG0860	K01448
COG0796	K01776
COG0285	K11754
COG1158	K03628
COG1624	K18672
COG1214	K14742
COG0802	K06925
COG2204	K07714
COG5495	K06988
COG1559	K07082
COG0210	K03657
COG0157	K00767
COG0642	K11527
COG2205	K11527
COG0745	K07658
COG1449	K16149
COG1543	K16149
COG1085	K00965
COG0446	K17218
COG4577	K04027
COG0451	K00091
COG1762	K02806
COG0084	K03424
COG0535	K22227
COG3005	K15876
COG2864	K00127
COG0484	K03686
COG1187	K06178
COG0330	K17286
COG1030	K07403
COG1921	K01042
COG1032	K04034
COG0612	K07263
COG0526	K02199
COG0616	K04773
COG0714	K03924
COG0820	K06941
COG1305	K22452
COG4976	K00568
COG2755	K10804
COG3169	K09922
COG0586	K03975
COG1752	K07001
COG1249	K00382
COG1740	K06282
COG0374	K06281
COG1969	K03620
COG0680	K03605
COG0321	K03801
COG0265	K04771
COG0470	K02341
COG0025	K03316
COG0500	K03183
COG2226	K03183
COG0640	K03892
COG1040	K02242
COG0006	K01271
COG0237	K00859
COG0149	K01803
COG0126	K00927
COG0057	K00134
COG0191	K01624
COG2402	K07065
COG0205	K21071
COG4552	K03824
