Species	gtdb_taxonomy	genus	sp	accession	gtdb_type_species_of_genus	Oxygen tolerance raw	Oxygen tolerance	random_id
Rudaeicoccus suwonensis	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__Rudaeicoccus;s__Rudaeicoccus suwonensis	g__Rudaeicoccus	s__Rudaeicoccus suwonensis	RS_GCF_007829035.1	t	aerobe	aerobe	5679
Anaerovorax odorimutans	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Anaerovorax;s__Anaerovorax odorimutans	g__Anaerovorax	s__Anaerovorax odorimutans	RS_GCF_000426305.1	t	anaerobe	anaerobe	5677
Desulfuromonas acetoxidans	d__Bacteria;p__Desulfobacterota_F;c__Desulfuromonadia;o__Desulfuromonadales;f__Desulfuromonadaceae;g__Desulfuromonas;s__Desulfuromonas acetoxidans	g__Desulfuromonas	s__Desulfuromonas acetoxidans	RS_GCF_000167355.1	t	anaerobe	anaerobe	5673
Robiginitalea biformata	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Robiginitalea;s__Robiginitalea biformata	g__Robiginitalea	s__Robiginitalea biformata	RS_GCF_000024125.1	t	aerobe	aerobe	5670
Siculibacillus lacustris	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Ancalomicrobiaceae;g__Siculibacillus;s__Siculibacillus lacustris	g__Siculibacillus	s__Siculibacillus lacustris	RS_GCF_004328075.1	t	aerobe	aerobe	5668
Alcaligenes faecalis	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Alcaligenes;s__Alcaligenes faecalis	g__Alcaligenes	s__Alcaligenes faecalis	RS_GCF_002443155.1	t	aerobe	aerobe	5665
Caldisalinibacter kiritimatiensis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Caldisalinibacteraceae;g__Caldisalinibacter;s__Caldisalinibacter kiritimatiensis	g__Caldisalinibacter	s__Caldisalinibacter kiritimatiensis	RS_GCF_000387765.1	t	anaerobe	anaerobe	5660
Parasporobacterium paucivorans	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Parasporobacterium;s__Parasporobacterium paucivorans	g__Parasporobacterium	s__Parasporobacterium paucivorans	RS_GCF_900141895.1	t	anaerobe	anaerobe	5653
Thalassorhabdomicrobium marinisediminis	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Thalassorhabdomicrobium;s__Thalassorhabdomicrobium marinisediminis	g__Thalassorhabdomicrobium	s__Thalassorhabdomicrobium marinisediminis	RS_GCF_003072065.1	t	aerobe	aerobe	5650
Pontimonas salivibrio	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Pontimonas;s__Pontimonas salivibrio	g__Pontimonas	s__Pontimonas salivibrio	RS_GCF_002950575.1	t	aerobe	aerobe	5649
Thermoproteus tenax	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermoproteales;f__Thermoproteaceae;g__Thermoproteus;s__Thermoproteus tenax	g__Thermoproteus	s__Thermoproteus tenax	RS_GCF_000253055.1	t	anaerobe	anaerobe	5647
Cardiobacterium hominis	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cardiobacteriales;f__Cardiobacteriaceae;g__Cardiobacterium;s__Cardiobacterium hominis	g__Cardiobacterium	s__Cardiobacterium hominis	RS_GCF_900637305.1	t	microaerophile	aerobe	5640
Haloplasma contractile	d__Bacteria;p__Firmicutes;c__Bacilli;o__Haloplasmatales;f__Haloplasmataceae;g__Haloplasma;s__Haloplasma contractile	g__Haloplasma	s__Haloplasma contractile	RS_GCF_000215935.2	t	anaerobe	anaerobe	5640
Sulfurivermis fontis	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiohalomonadales;f__Thiohalomonadaceae;g__Sulfurivermis;s__Sulfurivermis fontis	g__Sulfurivermis	s__Sulfurivermis fontis	RS_GCF_004001245.1	t	facultative anaerobe	aerobe	5637
Megasphaera elsdenii	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Megasphaeraceae;g__Megasphaera;s__Megasphaera elsdenii	g__Megasphaera	s__Megasphaera elsdenii	RS_GCF_003010495.1	t	anaerobe	anaerobe	5632
Natribacillus halophilus	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales_H;f__Marinococcaceae;g__Natribacillus;s__Natribacillus halophilus	g__Natribacillus	s__Natribacillus halophilus	RS_GCF_900100185.1	t	aerobe	aerobe	5626
Chitinilyticum aquatile	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Chitinibacteraceae;g__Chitinilyticum;s__Chitinilyticum aquatile	g__Chitinilyticum	s__Chitinilyticum aquatile	RS_GCF_000430805.1	t	facultative anaerobe	aerobe	5625
Maritalea myrionectae	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Devosiaceae;g__Maritalea;s__Maritalea myrionectae	g__Maritalea	s__Maritalea myrionectae	RS_GCF_000423365.1	t	aerobe	aerobe	5623
Flexistipes sinusarabici	d__Bacteria;p__Deferribacterota;c__Deferribacteres;o__Deferribacterales;f__Flexistipitaceae;g__Flexistipes;s__Flexistipes sinusarabici	g__Flexistipes	s__Flexistipes sinusarabici	RS_GCF_000218625.1	t	anaerobe	anaerobe	5614
Stenotrophobium rhamnosiphilum	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nevskiales;f__Nevskiaceae;g__Stenotrophobium;s__Stenotrophobium rhamnosiphilum	g__Stenotrophobium	s__Stenotrophobium rhamnosiphilum	RS_GCF_003052265.1	t	aerobe	aerobe	5613
Anaerococcus prevotii	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Anaerococcus;s__Anaerococcus prevotii	g__Anaerococcus	s__Anaerococcus prevotii	RS_GCF_000024105.1	t	anaerobe	anaerobe	5609
Pseudoflavonifractor capillosus	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Pseudoflavonifractor;s__Pseudoflavonifractor capillosus	g__Pseudoflavonifractor	s__Pseudoflavonifractor capillosus	RS_GCF_000169255.2	t	anaerobe	anaerobe	5606
Paraeggerthella hongkongensis	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Paraeggerthella;s__Paraeggerthella hongkongensis	g__Paraeggerthella	s__Paraeggerthella hongkongensis	RS_GCF_003726035.1	t	anaerobe	anaerobe	5606
Kribbia dieselivorans	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__Kribbia;s__Kribbia dieselivorans	g__Kribbia	s__Kribbia dieselivorans	RS_GCF_001552435.1	t	aerobe	aerobe	5604
Desulfomicrobium baculatum	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfomicrobiaceae;g__Desulfomicrobium;s__Desulfomicrobium baculatum	g__Desulfomicrobium	s__Desulfomicrobium baculatum	RS_GCF_000023225.1	t	anaerobe	anaerobe	5603
Sulfurisoma sediminicola	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Sulfurisoma;s__Sulfurisoma sediminicola	g__Sulfurisoma	s__Sulfurisoma sediminicola	RS_GCF_003865015.1	t	anaerobe	anaerobe	5600
Nitratifractor salsuginis	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurovaceae;g__Nitratifractor;s__Nitratifractor salsuginis	g__Nitratifractor	s__Nitratifractor salsuginis	RS_GCF_000186245.1	t	facultative anaerobe	aerobe	5600
Fulvivirga kasyanovii	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__Fulvivirga;s__Fulvivirga kasyanovii	g__Fulvivirga	s__Fulvivirga kasyanovii	RS_GCF_009711405.1	t	aerobe	aerobe	5599
Rubrobacter radiotolerans	d__Bacteria;p__Actinobacteriota;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__Rubrobacter;s__Rubrobacter radiotolerans	g__Rubrobacter	s__Rubrobacter radiotolerans	RS_GCF_900175965.1	t	aerobe	aerobe	5587
Sneathiella chinensis	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sneathiellales;f__Sneathiellaceae;g__Sneathiella;s__Sneathiella chinensis	g__Sneathiella	s__Sneathiella chinensis	RS_GCF_012720115.1	t	aerobe	aerobe	5583
Corticimicrobacter populi	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Corticimicrobacter;s__Corticimicrobacter populi	g__Corticimicrobacter	s__Corticimicrobacter populi	RS_GCF_003123725.1	t	aerobe	aerobe	5582
Phyllobacterium myrsinacearum	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales_A;f__Rhizobiaceae_A;g__Phyllobacterium;s__Phyllobacterium myrsinacearum	g__Phyllobacterium	s__Phyllobacterium myrsinacearum	RS_GCF_002980555.1	t	aerobe	aerobe	5581
Rhodohalobacter halophilus	d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Balneolales;f__Balneolaceae;g__Rhodohalobacter;s__Rhodohalobacter halophilus	g__Rhodohalobacter	s__Rhodohalobacter halophilus	RS_GCF_001715195.1	t	facultative anaerobe	aerobe	5576
Pseudoscardovia suis	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Pseudoscardovia;s__Pseudoscardovia suis	g__Pseudoscardovia	s__Pseudoscardovia suis	RS_GCF_002797875.1	t	anaerobe	anaerobe	5574
Paracandidimonas soli	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Paracandidimonas;s__Paracandidimonas soli	g__Paracandidimonas	s__Paracandidimonas soli	RS_GCF_004342005.1	t	facultative anaerobe	aerobe	5571
Blautia coccoides	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__Blautia coccoides	g__Blautia	s__Blautia coccoides	RS_GCF_900461125.1	t	anaerobe	anaerobe	5567
Marinisporobacter balticus	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Thermotaleaceae;g__Marinisporobacter;s__Marinisporobacter balticus	g__Marinisporobacter	s__Marinisporobacter balticus	RS_GCF_004345705.1	t	facultative anaerobe	aerobe	5563
Olsenella uli	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Olsenella;s__Olsenella uli	g__Olsenella	s__Olsenella uli	RS_GCF_000143845.1	t	obligate anaerobe,anaerobe	anaerobe	5554
Klugiella xanthotipulae	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Klugiella;s__Klugiella xanthotipulae	g__Klugiella	s__Klugiella xanthotipulae	RS_GCF_006716695.1	t	aerobe	aerobe	5552
Sediminibacterium salmoneum	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Sediminibacterium;s__Sediminibacterium salmoneum	g__Sediminibacterium	s__Sediminibacterium salmoneum	RS_GCF_000511175.1	t	aerobe	aerobe	5551
Pseudobacteroides cellulosolvens	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Acetivibrionales;f__Acetivibrionaceae;g__Pseudobacteroides;s__Pseudobacteroides cellulosolvens	g__Pseudobacteroides	s__Pseudobacteroides cellulosolvens	RS_GCF_001262605.1	t	anaerobe	anaerobe	5548
Methanosphaerula palustris	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanosphaerulaceae;g__Methanosphaerula;s__Methanosphaerula palustris	g__Methanosphaerula	s__Methanosphaerula palustris	RS_GCF_000021965.1	t	anaerobe	anaerobe	5545
Solobacterium moorei	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Bulleidia;s__Bulleidia moorei	g__Bulleidia	s__Bulleidia moorei	RS_GCF_000425005.1	t	obligate anaerobe,anaerobe	anaerobe	5542
Umboniibacter marinipuniceus	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__DSM-25080;g__Umboniibacter;s__Umboniibacter marinipuniceus	g__Umboniibacter	s__Umboniibacter marinipuniceus	RS_GCF_003688415.1	t	aerobe	aerobe	5540
Janibacter limosus	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__Janibacter;s__Janibacter limosus	g__Janibacter	s__Janibacter limosus	RS_GCF_001570985.1	t	aerobe,microaerophile	aerobe	5538
