BacDive-ID	Species	Temperature range	Temperature range raw
11901	Picrophilus torridus	thermophilic	thermophilic
11900	Picrophilus oshimae	thermophilic	thermophilic
	Stappia albiluteola		
158141	Stappia sp.	mesophilic	mesophilic
133897	Stappia taiwanensis	mesophilic	mesophilic
133547	Stappia indica	mesophilic	mesophilic
23236	Stappia kahanamokuae	mesophilic	mesophilic
13838	Stappia stellulata	mesophilic	mesophilic
	Alienimonas chondri		
166399	Alienimonas californiensis	psychrophilic,mesophilic	psychrophilic,mesophilic
139573	Paraphotobacterium marinum	mesophilic	mesophilic
16674	Desulfacinum subterraneum	thermophilic	thermophilic
16673	Desulfacinum hydrothermale	thermophilic	thermophilic
16672	Desulfacinum infernum	thermophilic	thermophilic
132952	Camelimonas fluminis	mesophilic	mesophilic
1675	Camelimonas abortus	mesophilic	mesophilic
1674	Camelimonas lactis	mesophilic	mesophilic
6309	Humibacillus xanthopallidus	mesophilic	mesophilic
13495,13494	Thermobispora bispora	thermophilic	thermophilic
6312	Ornithinibacter aureus	mesophilic	mesophilic
169653,132308,132307,132306,132305,132304	Rathayibacter sp.	mesophilic	mesophilic
158789	Rathayibacter oskolensis	psychrophilic,mesophilic	psychrophilic,mesophilic
158399	Rathayibacter agropyri	mesophilic	mesophilic
157513,157512,157511,157510,136353,7482	Rathayibacter rathayi	mesophilic	mesophilic
7483	Rathayibacter toxicus	mesophilic	mesophilic
23105,7487	Rathayibacter festucae	mesophilic,psychrophilic	mesophilic,psychrophilic
7486	Rathayibacter caricis	psychrophilic,mesophilic	psychrophilic,mesophilic
7485	Rathayibacter tritici	mesophilic	mesophilic
7484	Rathayibacter iranicus	mesophilic	mesophilic
164056	Abyssisolibacter fermentans	mesophilic	mesophilic
169518	Demequina sp.	mesophilic	mesophilic
	Demequina activiva		
141007	Lysinimicrobium sediminis	mesophilic	mesophilic
133136	Demequina litorisediminis	psychrophilic,thermophilic,mesophilic	psychrophilic,thermophilic,mesophilic
131541	Demequina subtropica	mesophilic	mesophilic
131540	Demequina soli	mesophilic	mesophilic
131539	Demequina pelophila	mesophilic	mesophilic
131538	Demequina rhizosphaerae	mesophilic	mesophilic
131537	Demequina silvatica	mesophilic	mesophilic
131535	Demequina iriomotensis	mesophilic	mesophilic
131534	Demequina gelatinilytica	mesophilic	mesophilic
131533	Demequina phytophila	mesophilic	mesophilic
131532	Demequina maris	mesophilic	mesophilic
23446	Demequina oxidasica	mesophilic	mesophilic
23445	Demequina globuliformis	mesophilic	mesophilic
23444	Demequina aurantiaca	mesophilic	mesophilic
17842	Demequina mangrovi	mesophilic	mesophilic
17841	Demequina sediminicola	mesophilic	mesophilic
17840	Demequina flava	mesophilic	mesophilic
17839	Demequina salsinemoris	mesophilic	mesophilic
17838	Demequina lutea	psychrophilic,mesophilic	psychrophilic,mesophilic
17837	Demequina aestuarii	mesophilic	mesophilic
	Bacterioplanes sanyensis		
169162	Lagierella massiliensis	mesophilic	mesophilic
	Bauldia litoralis		
	Bauldia consociata		
158267	Amycolatopsis oliviviridis	mesophilic,thermophilic,psychrophilic	mesophilic,thermophilic,psychrophilic
157969,157968,157967,157966,157965,157964,157963,13226,13225,13224,169412,169411,163492,163485,160844,160402	Amycolatopsis sp.	mesophilic,thermophilic	mesophilic,thermophilic
141006	Amycolatopsis acidiphila	mesophilic	mesophilic
	Amycolatopsis thermalba		
	Amycolatopsis ruanii		
133703	Amycolatopsis granulosa	mesophilic	mesophilic
133131	Amycolatopsis albispora	mesophilic	mesophilic
132675	Amycolatopsis jiguanensis	mesophilic	mesophilic
132522	Amycolatopsis deserti	mesophilic	mesophilic
132274	Amycolatopsis stemonae	mesophilic	mesophilic
132133	Amycolatopsis endophytica	mesophilic	mesophilic
131507	Amycolatopsis flava	mesophilic	mesophilic
130587	Amycolatopsis speibonae	mesophilic	mesophilic
130586	Amycolatopsis roodepoortensis	mesophilic	mesophilic
13260	Amycolatopsis saalfeldensis	mesophilic	mesophilic
13259	Amycolatopsis nigrescens	mesophilic	mesophilic
13214	Amycolatopsis lurida	mesophilic	mesophilic
13218,13216,13215,163999	Amycolatopsis orientalis	mesophilic	mesophilic
13245	Amycolatopsis kentuckyensis	mesophilic	mesophilic
13241	Amycolatopsis balhimycina	mesophilic	mesophilic
165740	Amycolatopsis methanolica	mesophilic	mesophilic
24444	Amycolatopsis cihanbeyliensis	mesophilic	mesophilic
