	cog	ko	ko_name
0	COG1943	K07491	REP-associated tyrosine transposase
1	COG1670	K03790	[ribosomal protein S5]-alanine N-acetyltransferase [EC:2.3.1.267]
2	COG0520	K11717	cysteine desulfurase / selenocysteine lyase [EC:2.8.1.7 4.4.1.16]
3	COG2461	K09155	uncharacterized protein
4	COG1959	K13643	Rrf2 family transcriptional regulator, iron-sulfur cluster assembly transcription factor
5	COG1520	K17713	outer membrane protein assembly factor BamB
6	COG2067	K06076	long-chain fatty acid transport protein
7	COG0194	K00942	guanylate kinase [EC:2.7.4.8]
8	COG0452	K13038	phosphopantothenoylcysteine decarboxylase / phosphopantothenate---cysteine ligase [EC:4.1.1.36 6.3.2.5]
9	COG1573	K21929	uracil-DNA glycosylase [EC:3.2.2.27]
10	COG0305	K02314	replicative DNA helicase [EC:5.6.2.3]
11	COG0317	K01139	GTP diphosphokinase / guanosine-3',5'-bis(diphosphate) 3'-diphosphatase [EC:2.7.6.5 3.1.7.2]
12	COG0816	K07447	putative pre-16S rRNA nuclease [EC:3.1.-.-]
13	COG0673	K00010	myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]
14	COG0815	K03820	apolipoprotein N-acyltransferase [EC:2.3.1.269]
15	COG4105	K05807	outer membrane protein assembly factor BamD
16	COG1057	K00969	nicotinate-nucleotide adenylyltransferase [EC:2.7.7.18]
17	COG1333	K07399	cytochrome c biogenesis protein
18	COG4799	K01966	propionyl-CoA carboxylase beta chain [EC:6.4.1.3 2.1.3.15]
19	COG3119	K01138	uncharacterized sulfatase [EC:3.1.6.-]
20	COG1115	K03310	alanine or glycine:cation symporter, AGCS family
21	COG1301	K03309	dicarboxylate/amino acid:cation (Na+ or H+) symporter, DAACS family
22	COG0325	K06997	PLP dependent protein
23	COG0762	K02221	YggT family protein
24	COG3599	K04074	cell division initiation protein
25	COG0005	K00772	5'-methylthioadenosine phosphorylase [EC:2.4.2.28]
26	COG0060	K01870	isoleucyl-tRNA synthetase [EC:6.1.1.5]
27	COG1734	K06204	DnaK suppressor protein
28	COG0597	K03101	signal peptidase II [EC:3.4.23.36]
29	COG1238	K03975	membrane-associated protein
30	COG1502	K06131	cardiolipin synthase A/B [EC:2.7.8.-]
31	COG0156	K00639	glycine C-acetyltransferase [EC:2.3.1.29]
32	COG1136	K05685	macrolide transport system ATP-binding/permease protein [EC:7.6.2.-]
33	COG4591	K09808	lipoprotein-releasing system permease protein
34	COG1180	K04069	pyruvate formate lyase activating enzyme [EC:1.97.1.4]
35	COG0698	K01808	ribose 5-phosphate isomerase B [EC:5.3.1.6]
36	COG0628	K03548	putative permease
37	COG0112	K00600	glycine hydroxymethyltransferase [EC:2.1.2.1]
38	COG2818	K01246	DNA-3-methyladenine glycosylase I [EC:3.2.2.20]
39	COG0382	K03179	4-hydroxybenzoate polyprenyltransferase [EC:2.5.1.39]
40	COG0424	K06287	nucleoside triphosphate pyrophosphatase [EC:3.6.1.-]
41	COG1426	K15539	cytoskeleton protein RodZ
42	COG0821	K03526	(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase [EC:1.17.7.1 1.17.7.3]
43	COG1661	K06934	uncharacterized protein
44	COG1428	K15518	deoxyguanosine kinase [EC:2.7.1.113]
45	COG0399	K13010	perosamine synthetase [EC:2.6.1.102]
46	COG1898	K01790	dTDP-4-dehydrorhamnose 3,5-epimerase [EC:5.1.3.13]
47	COG1003	K00283	glycine dehydrogenase subunit 2 [EC:1.4.4.2]
48	COG1199	K03722	ATP-dependent DNA helicase DinG [EC:5.6.2.3]
49	COG2176	K03763	DNA polymerase III subunit alpha, Gram-positive type [EC:2.7.7.7]
50	COG0346	K08234	glyoxylase I family protein
51	COG0621	K06168	tRNA-2-methylthio-N6-dimethylallyladenosine synthase [EC:2.8.4.3]
52	COG2956	K19804	lipopolysaccharide assembly protein B
53	COG0530	K07301	cation:H+ antiporter
54	COG3147	K03749	DedD protein
55	COG1729	K05807	outer membrane protein assembly factor BamD
56	COG1555	K02237	competence protein ComEA
57	COG0731	K04069	pyruvate formate lyase activating enzyme [EC:1.97.1.4]
58	COG2008	K01620	threonine aldolase [EC:4.1.2.48]
59	COG2890	K02493	release factor glutamine methyltransferase [EC:2.1.1.297]
60	COG3481	K03698	3'-5' exoribonuclease [EC:3.1.-.-]
61	COG1363	K20608	tetrahedral aminopeptidase [EC:3.4.11.-]
62	COG3631	K06893	uncharacterized protein
63	COG2304	K07114	Ca-activated chloride channel homolog
64	COG2843	K07282	gamma-polyglutamate biosynthesis protein CapA
