accession	oxytolerance
GB_GCA_003249035.1	aerobic
RS_GCF_000317065.1	aerobic
RS_GCF_000332175.1	aerobic
GB_GCA_002291895.1	aerobic
RS_GCF_000317085.1	aerobic
RS_GCF_011009555.1	aerobic
RS_GCF_012911975.1	aerobic
GB_GCA_010671905.1	aerobic
RS_GCF_000332095.2	aerobic
RS_GCF_002075285.3	aerobic
GB_GCA_003242035.1	aerobic
GB_GCA_012032345.1	aerobic
GB_GCA_011391125.1	aerobic
RS_GCF_000316625.1	aerobic
GB_GCA_003994795.1	aerobic
RS_GCF_010091925.1	aerobic
RS_GCF_002163975.1	aerobic
RS_GCF_002368395.1	aerobic
RS_GCF_000316645.1	aerobic
RS_GCF_009725235.1	aerobic
RS_GCF_002368075.1	aerobic
RS_GCF_000332135.1	aerobic
GB_GCA_012033205.1	aerobic
RS_GCF_008974145.1	aerobic
GB_GCA_003249095.1	aerobic
RS_GCF_003013815.1	aerobic
GB_GCA_012031035.1	aerobic
RS_GCF_000021805.1	aerobic
RS_GCF_000147335.1	aerobic
RS_GCF_000478825.2	aerobic
RS_GCF_003864295.1	aerobic
RS_GCF_003007785.1	aerobic
RS_GCF_000011385.1	aerobic
GB_GCA_014379585.1	aerobic
GB_GCA_003209655.1	aerobic
RS_GCF_900088535.1	aerobic
GB_GCA_014654725.1	aerobic
RS_GCF_014217855.1	aerobic
RS_GCF_000760295.1	aerobic
RS_GCF_000012505.1	aerobic
GB_GCA_903858015.1	aerobic
GB_GCA_003215335.1	aerobic
RS_GCF_001885215.1	aerobic
GB_GCA_003215655.1	aerobic
RS_GCF_000155555.1	aerobic
GB_GCA_011524395.1	aerobic
GB_GCA_010672925.1	aerobic
RS_GCF_000317515.1	aerobic
GB_GCA_010692645.1	aerobic
RS_GCF_000332275.1	aerobic
GB_GCA_012033055.1	aerobic
GB_GCA_002813895.1	aerobic
RS_GCF_000317675.1	aerobic
RS_GCF_010091945.1	aerobic
RS_GCF_001895925.1	aerobic
GB_GCA_003249025.1	aerobic
RS_GCF_000353285.1	aerobic
RS_GCF_000309945.1	aerobic
RS_GCF_003003795.1	aerobic
GB_GCA_002148405.1	aerobic
GB_GCA_012034655.1	aerobic
GB_GCA_011331465.1	aerobic
GB_GCA_013298165.1	aerobic
GB_GCA_004292745.1	aerobic
RS_GCF_900009135.1	aerobic
RS_GCF_000332155.1	aerobic
GB_GCA_010672585.1	aerobic
RS_GCF_000478195.2	aerobic
RS_GCF_009176225.1	aerobic
GB_GCA_012033335.1	aerobic
GB_GCA_010672085.1	aerobic
RS_GCF_000756305.1	aerobic
GB_GCA_012034765.1	aerobic
RS_GCF_000317575.1	aerobic
RS_GCF_000332055.1	aerobic
RS_GCF_900659865.1	aerobic
RS_GCF_000013205.1	aerobic
GB_GCA_012030715.1	aerobic
GB_GCA_012031565.1	aerobic
RS_GCF_003003885.1	aerobic
RS_GCF_000317125.1	aerobic
RS_GCF_000317555.1	aerobic
RS_GCF_007904085.1	aerobic
RS_GCF_000473895.1	aerobic
GB_GCA_003021505.1	aerobic
RS_GCF_001904725.1	aerobic
GB_GCA_001657325.1	aerobic
GB_GCA_001314905.1	aerobic
GB_GCA_011390275.1	aerobic
RS_GCF_001276715.1	aerobic
GB_GCA_010672965.1	aerobic
RS_GCF_000317105.1	aerobic
RS_GCF_012295525.1	aerobic
GB_GCA_011331985.1	aerobic
RS_GCF_000332035.1	aerobic
RS_GCF_000317495.1	aerobic
RS_GCF_003003775.1	aerobic
RS_GCF_000317145.1	aerobic
GB_GCA_013297675.1	aerobic
RS_GCF_002754935.1	aerobic
RS_GCF_009939295.1	aerobic
GB_GCA_902806435.1	aerobic
GB_GCA_012034865.1	aerobic
RS_GCF_003555505.1	aerobic
RS_GCF_000316685.1	aerobic
RS_GCF_003231495.1	aerobic
RS_GCF_000022045.1	aerobic
RS_GCF_000817745.2	aerobic
GB_GCA_002796835.1	aerobic
RS_GCF_003003615.1	aerobic
RS_GCF_013177315.1	aerobic
GB_GCA_007694125.1	aerobic
RS_GCF_002215035.1	aerobic
RS_GCF_001939115.1	aerobic
GB_GCA_003846445.1	aerobic
RS_GCF_001890765.1	aerobic
GB_GCA_012031265.1	aerobic
RS_GCF_000380225.1	aerobic
RS_GCF_000314005.1	aerobic
GB_GCA_010672165.1	aerobic
RS_GCF_001870225.1	aerobic
GB_GCA_000252485.1	aerobic
GB_GCA_014324065.1	aerobic
GB_GCA_001890975.1	aerobic
RS_GCF_001746915.1	aerobic
GB_GCA_903897715.1	aerobic
RS_GCF_001870905.1	aerobic
GB_GCA_903887375.1	aerobic
GB_GCA_001913845.2	aerobic
RS_GCF_000317045.1	aerobic
GB_GCA_010672865.1	aerobic
RS_GCF_000332315.1	aerobic
GB_GCA_012034805.1	aerobic
RS_GCF_000332335.1	aerobic
RS_GCF_000775285.1	aerobic
GB_GCA_000252485.1	aerobic
GB_GCA_001657325.1	aerobic
GB_GCA_001913845.2	aerobic
GB_GCA_003846445.1	aerobic
RS_GCF_000007925.1	aerobic
RS_GCF_000011385.1	aerobic
RS_GCF_000010065.1	aerobic
RS_GCF_000013225.1	aerobic
RS_GCF_000017845.1	aerobic
RS_GCF_000155595.1	aerobic
RS_GCF_000309945.1	aerobic
RS_GCF_000317045.1	aerobic
RS_GCF_000317085.1	aerobic
RS_GCF_000317495.1	aerobic
RS_GCF_000317515.1	aerobic
RS_GCF_000332035.1	aerobic
RS_GCF_000332055.1	aerobic
RS_GCF_000332275.1	aerobic
RS_GCF_000332315.1	aerobic
RS_GCF_000332335.1	aerobic
RS_GCF_000464785.1	aerobic
RS_GCF_000473895.1	aerobic
RS_GCF_000505665.1	aerobic
RS_GCF_000733415.1	aerobic
RS_GCF_000734895.2	aerobic
RS_GCF_000775285.1	aerobic
RS_GCF_000952155.1	aerobic
RS_GCF_001276715.1	aerobic
RS_GCF_001693255.1	aerobic
RS_GCF_001746915.1	aerobic
RS_GCF_001870225.1	aerobic
RS_GCF_001870905.1	aerobic
RS_GCF_001890765.1	aerobic
RS_GCF_001939115.1	aerobic
GB_GCA_001858525.1	aerobic
