Species	gtdb_taxonomy	genus	sp	accession	gtdb_type_species_of_genus	Oxygen tolerance raw	Oxygen tolerance	random_id
Sandarakinorhabdus limnophila	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sandarakinorhabdus;s__Sandarakinorhabdus limnophila	g__Sandarakinorhabdus	s__Sandarakinorhabdus limnophila	RS_GCF_000420765.1	t	aerobe	aerobe	5277
Methanotorris igneus	d__Archaea;p__Methanobacteriota;c__Methanococci;o__Methanococcales;f__Methanococcaceae;g__Methanotorris;s__Methanotorris igneus	g__Methanotorris	s__Methanotorris igneus	RS_GCF_000214415.1	t	anaerobe	anaerobe	5275
Heliophilum fasciatum	d__Bacteria;p__Firmicutes_B;c__Desulfitobacteriia;o__Heliobacteriales;f__Heliobacteriaceae;g__Heliophilum;s__Heliophilum fasciatum	g__Heliophilum	s__Heliophilum fasciatum	RS_GCF_004341395.1	t	anaerobe	anaerobe	5273
Senegalimassilia anaerobia	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Senegalimassilia;s__Senegalimassilia anaerobia	g__Senegalimassilia	s__Senegalimassilia anaerobia	RS_GCF_000236865.1	t	obligate anaerobe	anaerobe	5273
Nitrosarchaeum koreense	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosarchaeum;s__Nitrosarchaeum koreense	g__Nitrosarchaeum	s__Nitrosarchaeum koreense	RS_GCF_000220175.1	t	aerobe	aerobe	5264
Methanoregula boonei	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__Methanoregula boonei	g__Methanoregula	s__Methanoregula boonei	RS_GCF_000017625.1	t	anaerobe	anaerobe	5262
Macellibacteroides fermentans	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Macellibacteroides;s__Macellibacteroides fermentans	g__Macellibacteroides	s__Macellibacteroides fermentans	RS_GCF_013409575.1	t	anaerobe	anaerobe	5262
Anaeromicrobium sediminis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Thermotaleaceae;g__Anaeromicrobium;s__Anaeromicrobium sediminis	g__Anaeromicrobium	s__Anaeromicrobium sediminis	RS_GCF_002270055.1	t	anaerobe	anaerobe	5262
Mesoaciditoga lauensis	d__Bacteria;p__Thermotogota;c__Thermotogae;o__Mesoaciditogales;f__Mesoaciditogaceae;g__Mesoaciditoga;s__Mesoaciditoga lauensis	g__Mesoaciditoga	s__Mesoaciditoga lauensis	RS_GCF_000745455.1	t	anaerobe	anaerobe	5256
Cumulibacter manganitolerans	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Antricoccaceae;g__Cumulibacter;s__Cumulibacter manganitolerans	g__Cumulibacter	s__Cumulibacter manganitolerans	RS_GCF_009602465.1	t	obligate aerobe	aerobe	5252
